ethnicity	==5	290507	3.1	184039	3.15	58947	3.30	24228	2.67	23293	3.37
ethnicity	>=.	0	0.0	0	0.00	0	0.00	0	0.00	0	0.00

imd	==1	1744522	18.9	1086287	18.57	348825	19.55	195845	21.58	113565	16.44
imd	==2	1839519	19.9	1201836	20.55	343229	19.23	180556	19.90	113898	16.49
imd	==3	1935628	21.0	1270458	21.72	357967	20.06	179361	19.76	127842	18.51
imd	==4	1970162	21.3	1255530	21.46	378472	21.21	181403	19.99	154757	22.41
imd	==5	1742663	18.9	1035604	17.70	356167	19.96	170311	18.77	180581	26.15

tot_adults_hh	==1	2220918	24.1	1757056	30.04	282268	15.82	103119	11.36	78475	11.36
tot_adults_hh	==2	3759001	40.7	2033481	34.76	1006135	56.38	365193	40.24	354192	51.28
tot_adults_hh	==3	3252575	35.2	2059178	35.20	496257	27.81	439164	48.39	257976	37.35

bpcat	==1	2408157	26.1	1347632	23.04	607540	34.04	239467	26.39	213518	30.92
bpcat	==2	1325847	14.4	824319	14.09	273651	15.33	126666	13.96	101211	14.65
bpcat	==3	2922626	31.7	1894287	32.38	523329	29.32	292231	32.20	212779	30.81
bpcat	==4	1577199	17.1	1112374	19.02	214499	12.02	153561	16.92	96765	14.01
bpcat	>=.	998665	10.8	671103	11.47	165641	9.28	95551	10.53	66370	9.61
htdiag_or_highbp	==1	2226743	24.1	1613161	27.58	275313	15.43	211176	23.27	127093	18.40

chronic_respiratory_disease	==1	196027	2.1	159741	2.73	15340	0.86	13751	1.52	7195	1.04
asthma	==1	1608806	17.4	1009677	17.26	318423	17.84	159719	17.60	120987	17.52
chronic_cardiac_disease	==1	279209	3.0	220003	3.76	25088	1.41	22193	2.45	11925	1.73

diabcat	==1	8770578	95.0	5508357	94.16	1734235	97.17	864836	95.30	663150	96.02
diabcat	==2	14266	0.2	9800	0.17	2625	0.15	1119	0.12	722	0.10
diabcat	==3	38012	0.4	26310	0.45	6004	0.34	3466	0.38	2232	0.32
diabcat	==4	224640	2.4	168806	2.89	22688	1.27	20192	2.23	12954	1.88
diabcat	==5	180937	2.0	133748	2.29	18417	1.03	17501	1.93	11271	1.63
diabcat	==6	4061	0.0	2694	0.05	691	0.04	362	0.04	314	0.05

cancer_haem_cat	==2	2200	0.0	1640	0.03	263	0.01	180	0.02	117	0.02
cancer_haem_cat	==3	7057	0.1	5323	0.09	790	0.04	605	0.07	339	0.05
cancer_haem_cat	==4	19123	0.2	14098	0.24	2498	0.14	1649	0.18	878	0.13

cancer_exhaem_cat	==2	20348	0.2	15401	0.26	2061	0.12	1916	0.21	970	0.14
cancer_exhaem_cat	==3	61268	0.7	46965	0.80	6010	0.34	5632	0.62	2661	0.39
cancer_exhaem_cat	==4	109879	1.2	87372	1.49	9278	0.52	9297	1.02	3932	0.57

reduced_kidney_function_cat	==2	101198	1.1	84819	1.45	6619	0.37	6840	0.75	2920	0.42
reduced_kidney_function_cat	==3	9272	0.1	7295	0.12	857	0.05	733	0.08	387	0.06
esrd	==1	11490	0.1	8727	0.15	1302	0.07	916	0.10	545	0.08
chronic_liver_disease	==1	56397	0.6	43159	0.74	6331	0.35	3990	0.44	2917	0.42
stroke_dementia	==1	79277	0.9	63717	1.09	6550	0.37	5815	0.64	3195	0.46
other_neuro	==1	66985	0.7	51264	0.88	7259	0.41	5514	0.61	2948	0.43
other_transplant	==1	2216	0.0	1720	0.03	232	0.01	183	0.02	81	0.01
asplenia	==1	11261	0.1	8186	0.14	1485	0.08	1051	0.12	539	0.08
ra_sle_psoriasis	==1	423401	4.6	277568	4.74	72616	4.07	42804	4.72	30413	4.40
other_immuno	==1	31036	0.3	21978	0.38	4368	0.24	2589	0.29	2101	0.30
shield	==1	1981876	21.5	1301717	22.25	353593	19.81	190083	20.95	136483	19.76
anycomorb	==1	2839257	30.8	1905233	32.57	470241	26.35	272196	29.99	191587	27.74
