cons	==1	4605 (100.0)	143 (100.00)	455 (100.00)	85 (100.00)	3922 (100.00)
ethnicity	>=.	0 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	0 (0.00)

imd	==1	3237 (70.3)	94 (65.73)	309 (67.91)	57 (67.06)	2777 (70.81)
imd	==2	0 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	0 (0.00)
imd	==3	0 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	0 (0.00)
imd	==4	916 (19.9)	39 (27.27)	92 (20.22)	19 (22.35)	766 (19.53)
imd	==5	452 (9.8)	10 (6.99)	54 (11.87)	9 (10.59)	379 (9.66)

tot_adults_hh	==1	31 (0.7)	28 (19.58)	2 (0.44)	1 (1.18)	0 (0.00)
tot_adults_hh	==2	39 (0.8)	24 (16.78)	11 (2.42)	3 (3.53)	1 (0.03)
tot_adults_hh	==3	4535 (98.5)	91 (63.64)	442 (97.14)	81 (95.29)	3921 (99.97)

bpcat	==1	1 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	1 (0.03)
bpcat	==2	0 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	0 (0.00)
bpcat	==3	8 (0.2)	1 (0.70)	1 (0.22)	0 (0.00)	6 (0.15)
bpcat	==4	4161 (90.4)	129 (90.21)	421 (92.53)	72 (84.71)	3539 (90.23)
bpcat	>=.	435 (9.4)	13 (9.09)	33 (7.25)	13 (15.29)	376 (9.59)
htdiag_or_highbp	==1	4244 (92.2)	131 (91.61)	426 (93.63)	76 (89.41)	3611 (92.07)

chronic_respiratory_disease	==1	933 (20.3)	37 (25.87)	102 (22.42)	20 (23.53)	774 (19.73)
asthma	==1	374 (8.1)	6 (4.20)	27 (5.93)	7 (8.24)	334 (8.52)
chronic_cardiac_disease	==1	913 (19.8)	33 (23.08)	100 (21.98)	19 (22.35)	761 (19.40)

diabcat	==1	3486 (75.7)	108 (75.52)	345 (75.82)	71 (83.53)	2962 (75.52)
diabcat	==2	99 (2.1)	5 (3.50)	10 (2.20)	2 (2.35)	82 (2.09)
diabcat	==3	30 (0.7)	3 (2.10)	5 (1.10)	0 (0.00)	22 (0.56)
diabcat	==4	814 (17.7)	18 (12.59)	73 (16.04)	10 (11.76)	713 (18.18)
diabcat	==5	172 (3.7)	9 (6.29)	20 (4.40)	2 (2.35)	141 (3.60)
diabcat	==6	4 (0.1)	0 (0.00)	2 (0.44)	0 (0.00)	2 (0.05)

cancer_haem_cat	==2	29 (0.6)	2 (1.40)	3 (0.66)	0 (0.00)	24 (0.61)
cancer_haem_cat	==3	73 (1.6)	3 (2.10)	9 (1.98)	3 (3.53)	58 (1.48)
cancer_haem_cat	==4	832 (18.1)	30 (20.98)	61 (13.41)	13 (15.29)	728 (18.56)

cancer_exhaem_cat	==2	18 (0.4)	0 (0.00)	2 (0.44)	1 (1.18)	15 (0.38)
cancer_exhaem_cat	==3	82 (1.8)	2 (1.40)	9 (1.98)	2 (2.35)	69 (1.76)
cancer_exhaem_cat	==4	854 (18.5)	34 (23.78)	93 (20.44)	14 (16.47)	713 (18.18)

reduced_kidney_function_cat	==2	200 (4.3)	3 (2.10)	20 (4.40)	6 (7.06)	171 (4.36)
reduced_kidney_function_cat	==3	0 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	0 (0.00)
esrd	==1	1625 (35.3)	51 (35.66)	152 (33.41)	37 (43.53)	1385 (35.31)
chronic_liver_disease	==1	895 (19.4)	32 (22.38)	77 (16.92)	14 (16.47)	772 (19.68)
stroke_dementia	==1	910 (19.8)	31 (21.68)	98 (21.54)	14 (16.47)	767 (19.56)
other_neuro	==1	931 (20.2)	31 (21.68)	87 (19.12)	12 (14.12)	801 (20.42)
other_transplant	==1	927 (20.1)	30 (20.98)	110 (24.18)	14 (16.47)	773 (19.71)
asplenia	==1	908 (19.7)	31 (21.68)	108 (23.74)	12 (14.12)	757 (19.30)
ra_sle_psoriasis	==1	932 (20.2)	30 (20.98)	87 (19.12)	21 (24.71)	794 (20.24)
other_immuno	==1	929 (20.2)	33 (23.08)	92 (20.22)	21 (24.71)	783 (19.96)
shield	==1	3897 (84.6)	121 (84.62)	381 (83.74)	69 (81.18)	3326 (84.80)
anycomorb	==1	4438 (96.4)	139 (97.20)	440 (96.70)	81 (95.29)	3778 (96.33)
